Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1893","Directed","Hugo von Hofmannsthal an Hermann Bahr","13.157894736842104"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1893","Directed","Hermann Bahr an Hugo von Hofmannsthal","12.195121951219512"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1893","Directed","Felix Salten an Hugo von Hofmannsthal","7.317073170731708"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1893","Directed","Hugo von Hofmannsthal an Felix Salten","8.823529411764705"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1893","Directed","Richard Beer-Hofmann an Felix Salten","5.88235294117647"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Paul Goldmann an Arthur Schnitzler","23"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Felix Salten an Arthur Schnitzler","11"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1893","Directed","Arthur Schnitzler an Felix Salten","17.64705882352941"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1893","Directed","Paul Goldmann an Richard Beer-Hofmann","1 75"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Hermann Bahr an Arthur Schnitzler","9"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","9"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Arthur Schnitzler an Richard Beer-Hofmann","33"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Richard Beer-Hofmann an Arthur Schnitzler","28"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1894","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","14.634146341463415"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1894","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","19.51219512195122"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1894","Directed","Arthur Schnitzler an Hermann Bahr","1.3157894736842106"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","17"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1894","Directed","Hugo von Hofmannsthal an Hermann Bahr","10.526315789473685"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1894","Directed","Hermann Bahr an Hugo von Hofmannsthal","12.195121951219512"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Hermann Bahr an Richard Beer-Hofmann","9"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Paul Goldmann an Arthur Schnitzler","27"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1894","Directed","Arthur Schnitzler an Felix Salten","11.76470588235294"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Felix Salten an Arthur Schnitzler","16"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","14.634146341463415"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Hermann Bahr an Arthur Schnitzler","8"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Arthur Schnitzler an Richard Beer-Hofmann","33"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","8"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Richard Beer-Hofmann an Arthur Schnitzler","20"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1895","Directed","Arthur Schnitzler an Hermann Bahr","1.3157894736842106"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","13"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","9.75609756097561"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1895","Directed","Hugo von Hofmannsthal an Hermann Bahr","10.526315789473685"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Hermann Bahr an Hugo von Hofmannsthal","7.317073170731708"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Hermann Bahr an Richard Beer-Hofmann","1"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Felix Salten an Hugo von Hofmannsthal","4.878048780487805"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1895","Directed","Hermann Bahr an Felix Salten","8.823529411764705"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Paul Goldmann an Arthur Schnitzler","38"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Felix Salten an Arthur Schnitzler","22"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1895","Directed","Arthur Schnitzler an Felix Salten","2.941176470588235"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Paul Goldmann an Richard Beer-Hofmann","2 75"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","13"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Arthur Schnitzler an Richard Beer-Hofmann","36"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Richard Beer-Hofmann an Arthur Schnitzler","19"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Hermann Bahr an Arthur Schnitzler","16"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1896","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","12.195121951219512"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1896","Directed","Arthur Schnitzler an Hermann Bahr","3.9473684210526314"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","7"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1896","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","2.4390243902439024"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1896","Directed","Hugo von Hofmannsthal an Hermann Bahr","22.36842105263158"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1896","Directed","Hermann Bahr an Hugo von Hofmannsthal","21.951219512195124"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Paul Goldmann an Arthur Schnitzler","35"
"Arthur Schnitzler","2121","Paul Goldmann","Paul Goldmann","1896","Directed","Arthur Schnitzler an Paul Goldmann","3"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Felix Salten an Arthur Schnitzler","14"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1896","Directed","Arthur Schnitzler an Felix Salten","8.823529411764705"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Paul Goldmann an Richard Beer-Hofmann","2 75"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1896","Directed","Felix Salten an Hermann Bahr","2.6315789473684212"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Hermann Bahr an Arthur Schnitzler","9"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1897","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","31.707317073170735"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Arthur Schnitzler an Richard Beer-Hofmann","35"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","23"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1897","Directed","Arthur Schnitzler an Hermann Bahr","13.157894736842104"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Richard Beer-Hofmann an Arthur Schnitzler","16"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","8"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1897","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","4.878048780487805"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1897","Directed","Hugo von Hofmannsthal an Hermann Bahr","21.05263157894737"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1897","Directed","Hermann Bahr an Hugo von Hofmannsthal","17.073170731707318"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Hermann Bahr an Richard Beer-Hofmann","1"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1897","Directed","Hugo von Hofmannsthal an Felix Salten","2.941176470588235"
