,Arthur Schnitzler,Felix Salten,Hermann Bahr,Hugo von Hofmannsthal,Paul Goldmann,Richard Beer-Hofmann
Arthur Schnitzler,,"297,35","131,61","243,75","5270,00","53,56"
Felix Salten,"33,63",,"72,73","280,56",,","
Hermann Bahr,"75,98","137,50",,"264,46",",","16,44"
Hugo von Hofmannsthal,"41,03","35,64","37,81",,,"20,83"
Paul Goldmann,"1,90",,",",,,","
Richard Beer-Hofmann,"186,71",",","608,33","480,00",",",
