Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Felix Salten an Hugo von Hofmannsthal","4"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1895","Directed","Hermann Bahr an Felix Salten","6"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Paul Goldmann an Arthur Schnitzler","76"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Felix Salten an Arthur Schnitzler","44"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","26"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Arthur Schnitzler an Richard Beer-Hofmann","72"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Hermann Bahr an Arthur Schnitzler","32"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","14"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1896","Directed","Hugo von Hofmannsthal an Hermann Bahr","34"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Hermann Bahr an Richard Beer-Hofmann","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Paul Goldmann an Arthur Schnitzler","70"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1896","Directed","Felix Salten an Arthur Schnitzler","28"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1896","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1896","Directed","Felix Salten an Hermann Bahr","4"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Arthur Schnitzler an Richard Beer-Hofmann","70"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1897","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","46"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1897","Directed","Arthur Schnitzler an Hermann Bahr","20"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","16"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1897","Directed","Hugo von Hofmannsthal an Hermann Bahr","32"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1897","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1897","Directed","Hugo von Hofmannsthal an Felix Salten","2"
